group,team,region,rating,attack,defense
A,Mexico,CONCACAF,1840,1.13,0.91
A,South Korea,AFC,1785,1.04,0.96
A,Ecuador,CONMEBOL,1815,1.08,0.92
A,New Zealand,OFC,1610,0.86,1.16
B,Canada,CONCACAF,1740,1.02,1.02
B,Netherlands,UEFA,1935,1.25,0.82
B,Morocco,CAF,1830,1.07,0.91
B,Panama,CONCACAF,1655,0.91,1.10
C,United States,CONCACAF,1795,1.07,0.98
C,Uruguay,CONMEBOL,1900,1.18,0.86
C,Japan,AFC,1810,1.09,0.94
C,Ghana,CAF,1705,0.97,1.05
D,Argentina,CONMEBOL,2030,1.34,0.74
D,Denmark,UEFA,1845,1.10,0.91
D,Nigeria,CAF,1745,1.01,1.00
D,Saudi Arabia,AFC,1660,0.92,1.10
E,France,UEFA,2025,1.33,0.75
E,Senegal,CAF,1810,1.06,0.94
E,Scotland,UEFA,1735,1.00,1.02
E,Costa Rica,CONCACAF,1645,0.90,1.12
F,Brazil,CONMEBOL,1990,1.30,0.78
F,Croatia,UEFA,1840,1.09,0.91
F,Iran,AFC,1725,0.98,1.03
F,Jamaica,CONCACAF,1635,0.91,1.13
G,England,UEFA,1985,1.28,0.79
G,Colombia,CONMEBOL,1845,1.11,0.90
G,Australia,AFC,1700,0.97,1.05
G,Tunisia,CAF,1685,0.94,1.06
H,Spain,UEFA,1995,1.30,0.78
H,Switzerland,UEFA,1815,1.07,0.94
H,Peru,CONMEBOL,1710,0.97,1.04
H,South Africa,CAF,1665,0.92,1.09
I,Germany,UEFA,1955,1.25,0.81
I,Chile,CONMEBOL,1745,1.02,1.01
I,Egypt,CAF,1720,0.99,1.03
I,Qatar,AFC,1630,0.89,1.13
J,Portugal,UEFA,1965,1.26,0.80
J,Serbia,UEFA,1780,1.05,0.97
J,Paraguay,CONMEBOL,1715,0.98,1.04
J,Uzbekistan,AFC,1640,0.91,1.12
K,Italy,UEFA,1910,1.17,0.85
K,Ivory Coast,CAF,1760,1.02,0.99
K,Venezuela,CONMEBOL,1695,0.96,1.06
K,Honduras,CONCACAF,1605,0.87,1.17
L,Belgium,UEFA,1895,1.18,0.87
L,Austria,UEFA,1810,1.08,0.94
L,Mali,CAF,1690,0.95,1.06
L,Jordan,AFC,1585,0.84,1.19
